"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2020","5.169,5","5.149,5","5.204,0","5.146,0","790,05K","0,52%"
"29.12.2020","5.143,0","5.115,5","5.170,0","5.114,0","661,21K","0,81%"
"28.12.2020","5.101,5","5.114,0","5.175,5","5.101,0","688,23K","-0,09%"
"25.12.2020","5.106,0","5.114,5","5.114,5","5.087,5","134,72K","0,01%"
"24.12.2020","5.105,5","5.128,5","5.148,0","5.082,5","434,56K","-0,03%"
"23.12.2020","5.107,0","5.070,0","5.130,0","5.047,5","659,20K","0,67%"
"22.12.2020","5.073,0","5.040,5","5.138,0","5.040,5","1,16M","-0,44%"
"21.12.2020","5.095,5","5.061,5","5.115,0","4.938,5","2,46M","-0,87%"
"18.12.2020","5.140,0","5.173,0","5.176,5","5.075,0","2,73M","-0,93%"
"17.12.2020","5.188,0","5.180,0","5.244,5","5.104,0","2,02M","0,27%"
"16.12.2020","5.174,0","5.299,5","5.307,0","5.105,0","2,29M","-2,33%"
"15.12.2020","5.297,5","5.306,5","5.399,5","5.220,0","1,49M","-0,52%"
"14.12.2020","5.325,0","5.420,0","5.494,0","5.262,0","2,11M","-1,02%"
"11.12.2020","5.380,0","5.298,5","5.420,0","5.275,0","2,28M","1,76%"
"10.12.2020","5.287,0","5.006,5","5.338,0","5.005,5","2,58M","5,26%"
"09.12.2020","5.023,0","5.004,0","5.128,0","4.980,0","1,55M","0,58%"
"08.12.2020","4.994,0","5.015,5","5.059,0","4.953,0","1,27M","-0,90%"
"07.12.2020","5.039,5","5.103,5","5.143,0","5.035,5","1,19M","-1,61%"
"04.12.2020","5.122,0","5.122,0","5.195,0","5.090,5","1,51M","1,37%"
"03.12.2020","5.053,0","5.172,0","5.184,5","4.988,0","2,01M","-2,21%"
"02.12.2020","5.167,0","5.034,0","5.199,0","5.024,0","1,54M","2,14%"
"01.12.2020","5.058,5","5.072,0","5.121,0","5.022,0","1,51M","-0,09%"
"30.11.2020","5.063,0","5.200,0","5.250,0","4.982,0","3,72M","-3,75%"
"27.11.2020","5.260,0","5.230,0","5.269,5","5.164,5","1,65M","0,32%"
"26.11.2020","5.243,0","5.396,0","5.400,0","5.236,0","1,83M","-2,77%"
"25.11.2020","5.392,5","5.192,0","5.395,0","5.141,5","3,14M","4,11%"
"24.11.2020","5.179,5","5.056,0","5.179,5","5.050,0","2,12M","3,04%"
"23.11.2020","5.026,5","4.962,0","5.046,5","4.945,5","1,81M","1,58%"
"20.11.2020","4.948,5","4.915,0","4.952,0","4.877,5","767,36K","0,66%"
"19.11.2020","4.916,0","4.880,0","4.937,0","4.850,0","1,21M","0,53%"
"18.11.2020","4.890,0","4.841,0","4.972,0","4.818,0","1,37M","0,53%"
"17.11.2020","4.864,0","4.943,0","4.954,0","4.796,5","1,51M","-1,39%"
"16.11.2020","4.932,5","4.901,0","4.949,5","4.861,0","1,40M","1,10%"
"13.11.2020","4.879,0","4.830,0","4.900,0","4.795,0","947,19K","0,54%"
"12.11.2020","4.853,0","4.900,0","4.939,5","4.821,5","1,87M","-1,86%"
"11.11.2020","4.945,0","4.920,5","4.996,0","4.916,5","2,67M","1,24%"
"10.11.2020","4.884,5","4.750,0","4.950,0","4.702,0","3,27M","2,72%"
"09.11.2020","4.755,0","4.455,0","4.820,0","4.420,0","4,57M","8,17%"
"06.11.2020","4.396,0","4.306,0","4.418,5","4.272,0","1,37M","1,72%"
"05.11.2020","4.321,5","4.300,5","4.379,0","4.279,5","1,40M","1,63%"
"03.11.2020","4.252,0","4.160,0","4.269,5","4.160,0","1,53M","2,16%"
"02.11.2020","4.162,0","4.020,0","4.165,0","3.992,0","1,70M","2,77%"
"30.10.2020","4.050,0","4.001,0","4.089,0","3.970,0","1,23M","-0,18%"
"29.10.2020","4.057,5","4.035,5","4.080,0","3.996,0","1,38M","1,12%"
"28.10.2020","4.012,5","4.095,0","4.109,5","3.961,0","2,01M","-2,69%"
"27.10.2020","4.123,5","4.235,0","4.249,5","4.111,0","1,24M","-2,36%"
"26.10.2020","4.223,0","4.289,5","4.301,5","4.205,0","884,88K","-2,36%"
"23.10.2020","4.325,0","4.305,0","4.374,5","4.287,5","1,00M","0,41%"
