"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2020","5.685,5","5.670,0","5.714,0","5.635,0","425,36K","0,75%"
"29.12.2020","5.643,0","5.613,5","5.687,5","5.587,5","425,92K","0,79%"
"28.12.2020","5.599,0","5.490,0","5.607,5","5.483,5","368,61K","2,27%"
"25.12.2020","5.474,5","5.420,0","5.486,0","5.420,0","179,79K","0,92%"
"24.12.2020","5.424,5","5.361,5","5.468,5","5.339,0","260,28K","1,28%"
"23.12.2020","5.356,0","5.332,0","5.382,0","5.287,5","272,67K","0,19%"
"22.12.2020","5.346,0","5.338,0","5.394,5","5.321,5","283,60K","-0,30%"
"21.12.2020","5.362,0","5.440,0","5.444,0","5.284,0","571,66K","-1,60%"
"18.12.2020","5.449,0","5.405,5","5.498,5","5.384,0","332,69K","0,52%"
"17.12.2020","5.421,0","5.439,0","5.457,5","5.368,0","382,31K","-0,20%"
"16.12.2020","5.432,0","5.492,5","5.537,5","5.406,5","324,69K","-1,13%"
"15.12.2020","5.494,0","5.524,0","5.548,0","5.445,0","307,29K","-0,33%"
"14.12.2020","5.512,0","5.391,0","5.549,0","5.385,0","574,48K","2,43%"
"11.12.2020","5.381,0","5.357,0","5.418,0","5.321,5","309,43K","-0,07%"
"10.12.2020","5.384,5","5.396,0","5.496,0","5.309,0","909,09K","0,01%"
"09.12.2020","5.384,0","5.051,0","5.426,0","5.048,0","1,36M","6,81%"
"08.12.2020","5.040,5","5.023,5","5.055,5","5.000,0","282,87K","0,65%"
"07.12.2020","5.008,0","4.994,5","5.050,0","4.992,0","202,17K","0,31%"
"04.12.2020","4.992,5","5.014,0","5.034,0","4.975,0","151,72K","-0,31%"
"03.12.2020","5.008,0","4.999,0","5.054,0","4.950,5","485,41K","0,26%"
"02.12.2020","4.995,0","5.003,0","5.038,0","4.968,5","232,41K","-0,49%"
"01.12.2020","5.019,5","4.974,5","5.057,0","4.961,5","291,16K","0,81%"
"30.11.2020","4.979,0","4.955,0","5.043,5","4.947,0","304,77K","-0,13%"
"27.11.2020","4.985,5","4.965,0","4.997,0","4.936,5","272,52K","0,28%"
"26.11.2020","4.971,5","4.894,0","4.995,0","4.874,5","309,23K","1,64%"
"25.11.2020","4.891,5","4.915,0","4.935,0","4.806,5","555,66K","-0,38%"
"24.11.2020","4.910,0","4.960,0","4.968,5","4.876,5","319,94K","-0,71%"
"23.11.2020","4.945,0","4.929,0","4.989,0","4.883,0","367,36K","0,24%"
"20.11.2020","4.933,0","5.000,0","5.028,5","4.900,0","390,53K","-1,59%"
"19.11.2020","5.012,5","4.998,0","5.096,5","4.943,0","632,86K","0,65%"
"18.11.2020","4.980,0","4.891,5","5.001,0","4.850,0","442,53K","1,81%"
"17.11.2020","4.891,5","4.994,0","5.000,0","4.848,0","320,05K","-1,82%"
"16.11.2020","4.982,0","4.945,0","5.025,0","4.906,5","396,11K","1,01%"
"13.11.2020","4.932,0","4.930,0","4.946,5","4.831,0","250,74K","0,45%"
"12.11.2020","4.910,0","4.766,0","4.974,5","4.766,0","478,15K","2,72%"
"11.11.2020","4.780,0","4.961,0","5.003,5","4.754,0","523,04K","-3,34%"
"10.11.2020","4.945,0","4.885,0","4.985,5","4.880,0","333,62K","1,05%"
"09.11.2020","4.893,5","4.820,0","4.930,0","4.797,5","487,32K","2,03%"
"06.11.2020","4.796,0","4.750,0","4.827,5","4.694,5","400,78K","1,15%"
"05.11.2020","4.741,5","4.820,0","4.860,5","4.708,0","345,12K","-0,60%"
