"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2020","0,2533","0,2498","0,2550","0,2480","129,10M","1,65%"
"29.12.2020","0,2492","0,2480","0,2526","0,2478","110,06M","0,89%"
"28.12.2020","0,2470","0,2412","0,2480","0,2391","159,90M","2,92%"
"25.12.2020","0,2400","0,2413","0,2413","0,2395","49,87M","0,04%"
"24.12.2020","0,2399","0,2410","0,2420","0,2392","51,37M","-0,46%"
"23.12.2020","0,2410","0,2389","0,2416","0,2360","52,04M","1,05%"
"22.12.2020","0,2385","0,2328","0,2390","0,2328","49,62M","2,01%"
"21.12.2020","0,2338","0,2400","0,2400","0,2316","169,94M","-2,58%"
"18.12.2020","0,2400","0,2408","0,2408","0,2390","40,14M","0,17%"
"17.12.2020","0,2396","0,2407","0,2420","0,2395","61,58M","-0,70%"
"16.12.2020","0,2413","0,2401","0,2422","0,2400","51,51M","0,54%"
"15.12.2020","0,2400","0,2376","0,2438","0,2376","111,38M","0,04%"
"14.12.2020","0,2399","0,2396","0,2414","0,2375","98,30M","0,71%"
"11.12.2020","0,2382","0,2401","0,2403","0,2368","60,76M","-0,38%"
"10.12.2020","0,2391","0,2398","0,2405","0,2349","77,31M","-0,29%"
"09.12.2020","0,2398","0,2421","0,2422","0,2392","93,03M","-0,58%"
"08.12.2020","0,2412","0,2417","0,2425","0,2401","46,72M","-0,21%"
"07.12.2020","0,2417","0,2419","0,2425","0,2400","62,31M","0,37%"
"04.12.2020","0,2408","0,2430","0,2430","0,2400","52,70M","-0,62%"
"03.12.2020","0,2423","0,2415","0,2436","0,2395","79,33M","0,37%"
"02.12.2020","0,2414","0,2403","0,2427","0,2402","64,64M","0,33%"
"01.12.2020","0,2406","0,2353","0,2440","0,2351","203,22M","3,26%"
"30.11.2020","0,2330","0,2412","0,2415","0,2260","378,70M","-2,51%"
"27.11.2020","0,2390","0,2428","0,2432","0,2378","168,82M","-1,57%"
"26.11.2020","0,2428","0,2411","0,2438","0,2403","114,62M","1,08%"
"25.11.2020","0,2402","0,2400","0,2430","0,2375","155,96M","0,17%"
"24.11.2020","0,2398","0,2390","0,2416","0,2361","140,34M","0,33%"
"23.11.2020","0,2390","0,2370","0,2418","0,2370","201,78M","0,89%"
"20.11.2020","0,2369","0,2307","0,2375","0,2295","134,36M","3,00%"
